Complexity,Loss,Equation
1,5.900357e19,"-2.2876288e8"
3,5.899776e19,"x1 * -2.1103909e8"
4,5.263238e19,"exp(12.7539835 / x2)"
5,2.1155156e19,"x1 * (x0 * 4.847187e9)"
7,2.8056913e17,"((x1 * x0) / x2) * 9.006403e9"
9,2.3970149e17,"(((x0 + -0.030349554) / x2) * x1) * 8.989206e9"
