Complexity,Loss,Equation
1,5.7446294e19,"-2.4903683e8"
4,5.011163e19,"exp(12.65782 / x2)"
5,1.9924158e19,"(x0 * x1) * 4.8425533e9"
7,161844.81,"((x0 / x2) * x1) * 8.987552e9"
9,161844.62,"(((x0 / x2) * x1) * 8.987552e9) - x2"
