Complexity,Loss,Equation
1,5.7446294e19,"-2.481532e8"
4,5.011163e19,"exp(12.6577425 / x2)"
5,1.9924158e19,"(x1 * 4.842548e9) * x0"
7,161844.81,"(x1 * (x0 / x2)) * 8.987552e9"
9,161671.7,"((x1 - -7.538134e-9) * (x0 / x2)) * 8.987552e9"
