Complexity,Loss,Equation
1,0.45683563,"1.3832517"
3,0.09708749,"x0 + 1.363118"
5,0.0970816,"(x0 * 0.99595046) + 1.3631713"
6,0.013588957,"1.7082626 / (1.5243677 - x0)"
7,2.7000624e-15,"((x0 * x0) + x0) + 1.0"
9,2.4158453e-15,"((x0 + 1.2412347) * (x0 + -0.24123466)) - -1.2994288"
11,1.9895197e-15,"(((x0 + (x0 * x0)) + 0.7569094) + 0.21639754) - -0.02669311"
