Complexity,Loss,Equation
1,5.7446294e19,"-2.481535e8"
4,5.011163e19,"exp(12.657821 / x2)"
6,4.7104846e19,"exp((x1 * -6.704773) / x2)"
7,4.584845e19,"exp(exp(1.6621424 / x2) - x1)"
9,4.535164e19,"x1 * (exp(exp(1.6759187 / x2)) * x1)"
